	RAM	DAPE
704	0.652644617	0.605262205
705	0.652430267	0.627359471
706	0.652130488	0.60111385
707	0.651559133	0.574737789
708	0.65154434	0.615291639
709	0.651380885	0.615034605
710	0.650854203	0.615373932
711	0.650739645	0.616908138
712	0.650051141	0.635623413
713	0.649780457	0.607065598
714	0.649452875	0.642989981
715	0.64944813	0.634522765
716	0.649129009	0.605868992
717	0.648646305	0.603790727
718	0.648383953	0.579885539
719	0.648184275	0.620346867
720	0.648110694	0.624131685
721	0.647936042	0.625290107
722	0.647848416	0.614261607
723	0.647847866	0.649237247
724	0.647426218	0.59304551
725	0.647374628	0.628703565
726	0.647277822	0.656535964
727	0.64704349	0.654036383
728	0.646763135	0.59074821
729	0.646586256	0.560425478
730	0.646419784	0.610911181
731	0.646335789	0.6453054
732	0.646201778	0.632644417
733	0.646042193	0.630920237
734	0.645604004	0.608175958
735	0.645273553	0.603380449
736	0.644964598	0.601467571
737	0.644729707	0.608503387
738	0.644440454	0.615768049
739	0.644337041	0.652179999
740	0.643831608	0.633520534
741	0.64383125	0.583332686
742	0.643751729	0.57937694
743	0.643635339	0.590698561
744	0.643299376	0.565369235
745	0.643231443	0.625176259
746	0.643204143	0.627942107
747	0.642885414	0.633349336
748	0.642445908	0.59195319
749	0.642062161	0.586663799
750	0.641748078	0.58719404
751	0.641307021	0.600232143
752	0.641065087	0.621426966
753	0.641001151	0.603159041
754	0.640714423	0.596629328
755	0.640586297	0.598561547
756	0.63988945	0.606522685
757	0.639661677	0.60389704
758	0.6395485	0.619711963
759	0.639292545	0.626570779
760	0.639202009	0.592434167
761	0.638991338	0.602004224
762	0.63870338	0.592737105
763	0.63866508	0.597582652
764	0.638445664	0.602463786
765	0.638429684	0.643015343
766	0.637767263	0.597200757
767	0.637601782	0.603610223
768	0.637487018	0.605096558
769	0.63727076	0.635644961
770	0.637199375	0.619108449
771	0.637158503	0.614682348
772	0.636918851	0.616188101
773	0.636736543	0.638427409
774	0.635944684	0.601303884
775	0.635240201	0.614756586
776	0.63509731	0.588995634
777	0.635008883	0.579607947
778	0.634803956	0.604228764
779	0.634642567	0.6142634
780	0.63455096	0.573480434
781	0.633389428	0.625847891
782	0.632793876	0.625657953
783	0.632755382	0.563586354
784	0.632696795	0.601128387
785	0.632677529	0.607027325
786	0.632141632	0.59765709
787	0.631782481	0.646683502
788	0.631598043	0.595592909
789	0.631443267	0.579789467
790	0.631241776	0.633242248
791	0.630885476	0.604962683
792	0.630721445	0.593696157
793	0.630471456	0.597638516
794	0.629959118	0.632021037
795	0.629829871	0.623463203
796	0.629646323	0.619107809
797	0.629414526	0.614971268
798	0.629398351	0.609273654
799	0.629104235	0.592157385
800	0.627703077	0.579285475
801	0.627644978	0.568398037
802	0.627593155	0.557403578
803	0.627272877	0.603424427
804	0.627160862	0.576874674
805	0.626887973	0.571050227
806	0.626834881	0.609045138
807	0.626645746	0.623051366
808	0.626550646	0.560256141
809	0.625893926	0.562416195
810	0.625698139	0.651533159
811	0.625223788	0.570884208
812	0.624794097	0.593844481
813	0.624738445	0.593454242
814	0.624582235	0.614682493
815	0.624513687	0.595648333
816	0.624441791	0.581618131
817	0.624003833	0.590138554
818	0.623884022	0.550221437
819	0.623843038	0.573743386
820	0.62314254	0.591480888
821	0.622939826	0.61125361
822	0.622703286	0.581739429
823	0.622405555	0.625166389
